#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
** BYZANTINE **;;;;;;;;;;;;;;
** ARMENIAN **;;;;;;;;;;;;;;
emperor_armenian;Ink’nakal;Ink’nakal;Ink’nakal;;Ink’nakal;;;;;;;;;x
emperor_female_armenian;Kaysruhi;Kaysruhi;Kaysruhi;;Kaysruhi;;;;;;;;;x
emperor_title_queen_mother_female_armenian;Kaysruhi Mayrik;Kaysruhi Mayrik;Kaysruhi Mayrik;;Kaysruhi Mayrik;;;;;;;;;x
city_emperor_armenian;Hyupatos;Hyupatos;Hyupatos;;Hyupatos;;;;;;;;;x
city_empire_of_armenian;Senate of;Sénat de;Senat von;;Senado de;;;;;;;;;x
;;;;;;;;;;;;;;
city_king_armenian;Tribune;Tribun;Volkstribun;;Tribuno;;;;;;;;;x
city_kingdom_of_armenian;Grand Republic of;Grande République de;Großen Republik;;Gran República de;;;;;;;;;x
;;;;;;;;;;;;;;;
duke_armenian;Melik;Melik;Melik;;Melik;;;;;;x
duke_female_armenian;Melika;Melika;Melika;;Melika;;;;;;;x
duchy_of_armenian;Melikdom of;Melikdome de;Meliktum von;;Meliko de;;;;;;;x
** GREEK **;;;;;;;;;;;;;;
emperor_greek;Basileus;Basileus;Basileus;;Basileus;;;;;;;;;x
emperor_female_greek;Basilissa;Basilissa;Basilissa;;Basilissa;;;;;;;;;x
city_emperor_greek;Hypatos;Hypatos;Hypatos;;Hypatos;;;;;;;;;x
city_empire_of_greek;Senate of;Sénat de;Senat von;;Senado de;;;;;;;;;x
;;;;;;;;;;;;;;
king_greek;Despot;Despote;Despot;;Déspota;;;;;;;;;x
king_female_greek;Despotess;Dame Despote;Frau Despot;;Señora Déspota;;;;;;;;;x
kingdom_of_greek;Despotate of;Despotat de;Despotate von;;Despotado de;;;;;;;;;x
city_king_greek;Protodoux;Protodoux;Protodoux;;Protodoux;;;;;;;;;x;;;;;;;;;;;;;;;
city_kingdom_of_greek;Grand Republic of;Grande République de;Großen Republik;;Gran República de;;;;;;;;;x
;;;;;;;;;;;;;;
city_duke_greek;Protarchon;Protarchon;Protarchon;;Protarchon;;;;;;;;;x;;;;;;;;;;;;;;;
duke_greek;Doux;Doux;Doux;;Doux;;;;;;;;;x
duke_female_greek;Doukessa;Doukessa;Doukessa;;Doukessa;;;;;;;;;x
duchy_of_greek;Theme of;Thème de;Theme von;Theme de
;;;;;;;;;;;;;;
city_count_greek;Archon;Archon;Archon;;Archon;;;;;;;;;x;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
** ALAN **;;;;;;;;;;;;;;
emperor_alan;Imperatoris;Imperatoris;Imperatoris;;Imperatoris;;;;;;;;;x
emperor_female_alan;Imperatritsa;Imperatritsa;Imperatritsa;;Imperatritsa;;;;;;;;;x
emperor_title_queen_mother_female_alan;Imperatritsa Deda;Imperatritsa Deda;Imperatritsa Deda;;Imperatritsa Deda;;;;;;;;;x
city_emperor_alan;Konsuli;Konsuli;Konsuli;;Konsuli;;;;;;;;;x
city_empire_of_alan;Senate of;Sénat de;Senat von;;Senado de;;;;;;;;;x
;;;;;;;;;;;;;;
city_king_alan;Tribune;Tribun;Volkstribun;;Tribuno;;;;;;;;;x
city_kingdom_of_alan;Grand Republic of;Grande République de;Großen Republik;;Gran República de;;;;;;;;;x
;;;;;;;;;;;;;;
** GEORGIAN **;;;;;;;;;;;;;;
emperor_georgian;Mepe-Mepeta;Mepe-Mepeta;Mepe-Mepeta;;Mepe-Mepeta;;;;;;;;;x
emperor_female_georgian;Dedopali-Dedoplebis;Dedopali-Dedoplebis;Dedopali-Dedoplebis;;Dedopali-Dedoplebis;;;;;;;;;x
emperor_title_queen_mother_female_georgian;Dedopali Deda;Dedopali Deda;Dedopali Deda;;Dedopali Deda;;;;;;;;;x
city_emperor_georgian;Konsuli;Konsuli;Konsuli;;Konsuli;;;;;;;;;x
city_empire_of_georgian;Senate of;Sénat de;Senat von;;Senado de;;;;;;;;;x
;;;;;;;;;;;;;;
city_king_georgian;Tribune;Tribun;Volkstribun;;Tribuno;;;;;;;;;x
city_kingdom_of_georgian;Grand Republic of;Grande République de;Großen Republik;;Gran República de;;;;;;;;;x
;;;;;;;;;;;;;;
