#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
** NORTH GERMANIC **;;;;;;;;;;;;;;
city_empire_of_north_germanic;Confederation of;Confédération de;Konföderation von;;Confederación de;;;;;;;;;x
;;;;;;;;;;;;;;
city_king_north_germanic;Chancellor;Chancellier;Kanzler;;Canciller;;;;;;;;;x
city_kingdom_of_north_germanic;Federation of;Fédération de;Föderation von;;Federación de;;;;;;;;;x
;;;;;;;;;;;;;;
city_duke_north_germanic;First Mayor;Premier Maire;Erster Bürgermeister;;Primer Alcalde;;;;;;;;;x
;;;;;;;;;;;;;;
baron_north_germanic;Lord;Seigneur;Herr;;Señor;;;;;;;;;x
baron_female_north_germanic;Lady;Dame;Frau;;Señora;;;;;;;;;x
barony_of_north_germanic;Castle of;Château de;Schloss von;;Castillo de;;;;;;;;;x
;;;;;;;;;;;;;;
** NORSE **;;;;;;;;;;;;;;
emperor_norse;Har Konungr;Har Konungr;Har Konungr;;Har Konungr;;;;;;;;;x
emperor_female_norse;Har Drottning;Har Drottning;Har Drottning;;Har Drottning;;;;;;;;;x
emperor_title_queen_mother_female_norse;Drottning Móðir;Drottning Móðir;Drottning Móðir;;Drottning Móðir;;;;;;;;;x
city_emperor_norse;Frábær Höfðingja;Frábær Höfðingja;Frábær Höfðingja;;Frábær Höfðingja;;;;;;;;;x
empire_of_norse;High Kingdom of;Haut Royaume de;Hohe Königreich von;;Alto Reino de;;;;;;;;;x
;;;;;;;;;;;;;;
city_king_norse;Grand Prince;Grand Prince;Großtyrann;;Gran Príncipe;;;;;;;;;x
;;;;;;;;;;;;;;
duke_norse;Jarl;Jarl;Jarl;;Jarl;;;;;;;;;;;;;;;;;;;x
duchy_of_norse;Jarldom of;Jarldome de;Jarltum von;;Jarldom de;;;;;;;;;x
city_duke_norse;Prince;Prince;Prinz;;Príncipe;;;;;;;;;x
city_duchy_of_norse;Land of;Terre de;Land of;;Land of;;;;;;;;;;x
;;;;;;;;;;;;;;
city_count_norse;Lagman;Lagman;Lagman;;Lagman;;;;;;;;;x
;;;;;;;;;;;;;;
city_baron_norse;Ålderman;Ålderman;Ålderman;;Ålderman;;;;;;;;;x
baron_norse;Þegn;Þegn;Þegn;;Þegn;;;;;;;;;x
family_palace_baron_norse;Elder;Ainé;Altere;;Saúco;;;;;;;;;x
;;;;;;;;;;;;;;
** SWEDISH **;;;;;;;;;;;;;;
emperor_swedish;Kejsare;Kejsare;Kejsare;;Kejsare;;;;;;;;;x
emperor_female_swedish;Kejsarinna;Kejsarinna;Kejsarinna;;Kejsarinna;;;;;;;;;x
emperor_title_queen_mother_female_swedish;Kejsarmodern;Kejsarmodern;Kejsarmodern;;Kejsarmodern;;;;;;;;;x
city_emperor_swedish;Högsta Kanslern;Högsta Kanslern;Högsta Kanslern;;Högsta Kanslern;;;;;;;;;x
;;;;;;;;;;;;;;
family_palace_baron_swedish;Magnate;Magnat;Magnat;;Magnate;;;;;;;;;x
;;;;;;;;;;;;;;
** NORWEGIAN **;;;;;;;;;;;;;;
emperor_norwegian;Keiser;Keiser;Keiser;;Keiser;;;;;;;;;x
emperor_female_norwegian;Keiserinne;Keiserinne;Keiserinne;;Keiserinne;;;;;;;;;x
emperor_title_queen_mother_female_norwegian;Keiserinne Mor;Keiserinne Mor;Keiserinne Mor;;Keiserinne Mor;;;;;;;;;x
city_emperor_norwegian;Overste Kansler;Overste Kansler;Overste Kansler;;Overste Kansler;;;;;;;;;x
;;;;;;;;;;;;;;
family_palace_baron_norwegian;Magnate;Magnat;Magnat;;Magnate;;;;;;;;;x
;;;;;;;;;;;;;;
** DANISH **;;;;;;;;;;;;;;
emperor_danish;Kejser;Kejser;Kejser;;Kejser;;;;;;;;;x
emperor_female_danish;Kejserinde;Kejserinde;Kejserinde;;Kejserinde;;;;;;;;;x
emperor_title_queen_mother_female_danish;Enkedronning;Enkedronning;Enkedronning;;Enkedronning;;;;;;;;;x
city_emperor_danish;Højeste Kansler;Højeste Kansler;Højeste Kansler;;Højeste Kansler;;;;;;;;;x
;;;;;;;;;;;;;;
family_palace_baron_danish;Magnate;Magnat;Magnat;;Magnate;;;;;;;;;x
;;;;;;;;;;;;;;
** NORSE-GAEL **;;;;;;;;;;;;;;
emperor_norsegael;Ard Ri;Ard Ri;Ard Ri;;Ard Ri;;;;;;;;;x
emperor_female_norsegael;Ard Banríon;Ard Banríon;Ard Banríon;;Ard Banríon;;;;;;;;;x
emperor_title_queen_mother_female_norsegael;Banríona Máthair;Banríona Máthair;Banríona Máthair;;Banríona Máthair;;;;;;;;;x
city_emperor_norsegael;Taoiseach;Taoiseach;Taoiseach;;Taoiseach;;;;;;;;;x
empire_of_norsegael;High Kingdom of;Haut Royaume de;Hohe Königreich von;;Alto Reino de;;;;;;;;;x
;;;;;;;;;;;;;;
city_king_norsegael;Grand Prince;Grand Prince;Großtyrann;;Gran Príncipe;;;;;;;;;x
;;;;;;;;;;;;;;
duke_norsegael;Jarl;Jarl;Jarl;;Jarl;;;;;;;;;;;;;;;;;;x
duchy_of_norsegael;Jarldom of;Jarldome de;Jarltum von;;Jarldom de;;;;;;;;;x
city_duke_norsegael;Prince;Prince;Prinz;;Príncipe;;;;;;;;;x
city_duchy_of_norsegael;Land of;Terre de;Land of;;Land of;;;;;;;;;;x
;;;;;;;;;;;;;;
count_norsegael;Tigerna;Tigerna;Tigerna;;Tigerna;;;;;;;;;x
count_female_norsegael;Lady;Dame;Frau:Dama;;;;;;;;;x
county_of_norsegael;Lordship of;Seigneurie de;Lordschaft von;;Señorío de;;;;;;;;;x
city_count_norse;Lagman;Lagman;Lagman;;Lagman;;;;;;;;;x
;;;;;;;;;;;;;;
city_baron_norse;Alderman;Alderman;Alderman;;Alderman;;;;;;;;;x
baron_norse;Þegn;Þegn;Þegn;;Þegn;;;;;;;;;x
baron_female_norsegael;Chieftess;Matrone;Oberin;;Jefa;;;;;;;;;x
barony_of_norsegael;Castle of;Château de;Schloss von;;Castillo de;;;;;;;;;x
family_palace_baron_norsegael;Clan Chief;Chef de Clan;Clanchef;;Jefe del Clan;;;;;;;;;x
** ICELANDIC **;;;;;;;;;;;;;;
emperor_icelandic;Har Konungr;Har Konungr;Har Konungr;;Har Konungr;;;;;;;;;x
emperor_female_icelandic;Har Drottning;Har Drottning;Har Drottning;;Har Drottning;;;;;;;;;x
emperor_title_queen_mother_female_icelandic;Drottning Móðir;Drottning Móðir;Drottning Móðir;;Drottning Móðir;;;;;;;;;x
city_emperor_icelandic;Frábær Höfðingja;Frábær Höfðingja;Frábær Höfðingja;;Frábær Höfðingja;;;;;;;;;x
empire_of_icelandic;High Kingdom of;Haut Royaume de;Hohe Königreich von;;Alto Reino de;;;;;;;;;x
;;;;;;;;;;;;;;
city_king_icelandic;Grand Prince;Grand Prince;Großtyrann;;Gran Príncipe;;;;;;;;;x
;;;;;;;;;;;;;;
duke_icelandic;Jarl;Jarl;Jarl;;Jarl;;;;;;;;;;;;;;;;;;;x
duchy_of_icelandic;Jarldom of;Jarldome de;Jarltum von;;Jarldom de;;;;;;;;;x
city_duke_icelandic;Prince;Prince;Prinz;;Príncipe;;;;;;;;;x
