#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
** CELTIC **;;;;;;;;;;;;;;
** IRISH **;;;;;;;;;;;;;;
emperor_irish;Ard Rí;Ard Rí;Ard Rí;;Ard Rí;;;;;;;;;x
emperor_female_irish;Ard Banríon;Ard Banríon;Ard Banríon;;Ard Banríon;;;;;;;;;x
emperor_title_queen_mother_female_irish;Banríona Máthair;Banríona Máthair;Banríona Máthair;;Banríona Máthair;;;;;;;;;x
empire_of_irish;High Kingdom of;Royaume de;Königreich von;;Reino de;;;;;;;;;x
city_emperor_irish;Taoiseach;Taoiseach;Taoiseach;;Taoiseach;;;;;;;;;x
city_empire_of_irish;Confederation of;Grande Principauté de;Grobfürstentum von;;Gran Principado de;;;;;;;;;x
;;;;;;;;;;;;;;
king_irish;Overking;Roi;König;;Rey;;;;;;;;;x
king_female_irish;Overqueen;Reine;Königin;;Reina;;;;;;;;;x
kingdom_of_irish;Kingdom of;Royaume de;Königreich von;;Reino de;;;;;;;;;x
city_king_irish;Grand Prince;Grand Prince;Großtyrann;;Gran Príncipe;;;;;;;;;x
city_kingdom_of_irish;Federation of;Fédération de;Föderation von;;Federación de;;;;;;;;;x
;;;;;;;;;;;;;;
duke_irish;King;Roi;König;;Rey;;;;;;;;;x
duke_female_irish;Queen;Reine;Königin;;Reina;;;;;;;;;x
duchy_of_irish;Minor Kingdom of;Royaume Mineur de;Kleinlich Königreich von;;Pequeña Reino de;;;;;;;;;x
city_duke_irish;Prince;Prince;Prinz;;Príncipe;;;;;;;;;x
;;;;;;;;;;;;;;
count_irish;High Lord;Haut Seigneur;Hoch-Lord;;Gran Señor;;;;;;;;;x
count_female_irish;High Lady;Haute-Dame;Hohe Frau:Gran Dama;;;;;;;;;x
county_of_irish;High Lordship of;Haute Seigneurie de;Hohe Lordschaft von;;Alto Señorío de;;;;;;;;;x
;;;;;;;;;;;;;;
baron_irish;Lord;Seigneur;Herr;;Señor;;;;;;;;;x
baron_female_irish;Lady;Dame;Frau;;Señora;;;;;;;;;x
barony_of_irish;Lordship of;Seigneurie de;Lordschaft von;;Señorío de;;;;;;;;;x
family_palace_baron_irish;Clan Chief;Chef de Clan;Clanchef;;Jefe del Clan;;;;;;;;;x
family_palace_baron_female_irish;Lady;Dame;Frau;;Señora;;;;;;;;;x
;;;;;;;;;;;;;;
** SCOTTISH **;;;;;;;;;;;;;;
emperor_scottish;Ímpire;Ímpire;Ímpire;;Ímpire;;;;;;;;;x
emperor_female_scottish;Ímpress;Ímpress;Ímpress;;Ímpress;;;;;;;;;x
emperor_title_queen_mother_female_scottish;Ímpress Baintreach;Ímpress Baintreach;Ímpress Baintreach;;Ímpress Baintreach;;;;;;;;;x
city_emperor_scottish;Mhór-Prionsa;Mhór-Prionsa;Mhór-Prionsa;;Mhór-Prionsa;;;;;;;;;x
city_empire_of_scottish;Principality of;Principauté de;Fürstentum von;;Principado de;;;;;;;;;x
;;;;;;;;;;;;;;
city_king_scottish;High Chancellor;Grand Chancellier;Großkanzler;;Gran Canciller;;;;;;;;;x
city_kingdom_of_scottish;Federation of;Fédération de;Föderation von;;Federación de;;;;;;;;;x
;;;;;;;;;;;;;;
