#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
** EAST AFRICAN **;;;;;;;;;;;;;;
emperor_east_african;Negusa Nagest;Negusa Nagest;Negusa Nagest;;Negusa Nagest;;;;;;;;;x
emperor_female_east_african;Nigiste Negest;Nigiste Negest;Nigiste Negest;;Nigiste Negest;;;;;;;;;x
emperor_title_queen_mother_female_east_african;Itege;Itege;Itege;;Itege;;;;;;;;;x
city_emperor_east_african;Tsehafi Tezaz;Tsehafi Tezaz;Tsehafi Tezaz;;Tsehafi Tezaz;;;;;;;;;x
city_empire_of_east_african;Senate of;Sénat de;Senat von;;Senado de;;;;;;;;;x
;;;;;;;;;;;;;;
king_east_african;Negus;Negus;Negus;;Negus;;;;;;;;;x
king_female_east_african;Nigist;Nigist;Nigist;;Nigist;;;;;;;;;x
city_king_east_african;Nebura Ed;Nebura Ed;Nebura Ed;;Nebura Ed;;;;;;;;;x
city_kingdom_of_east_african;Grand Republic of;Grande République de;Großen Republik;;Gran República de;;;;;;;;;x
title_prince_east_african;Abeto;Abeto;Abeto;;Abeto;;;;;;;;;x
title_prince_female_east_african;Emebet Hoy;Emebet Hoy;Emebet Hoy;;Emebet Hoy;;;;;;;;;x
;;;;;;;;;;;;;;
duke_east_african;Ras;Ras;Ras;;Ras;;;;;;;;;x
duke_female_east_african;Leult;Leult;Leult;;Leult;;;;;;;;;x
duchy_of_east_african;Principality of;Principality of;Principality of;;Principality of;;;;;;;;;x
city_duke_east_african;Liqat;Liqat;Liqat;;Liqat;;;;;;;;;x
;;;;;;;;;;;;;;
city_count_east_african;Mekonnen;Mekonnen;Mekonnen;;Mekonnen;;;;;;;;;x
count_east_african;Bitwoded;Bitwoded;Bitwoded;;Bitwoded;;;;;;;;;x
;;;;;;;;;;;;;;
baron_east_african;Fitawrari;Fitawrari;Fitawrari;;Fitawrari;;;;;;;;;x
city_baron_east_african;Shum;Shum;Shum;;Shum;;;;;;;;;x
family_palace_baron_east_african;Pasha;Pasha;Pasha;;Pasha;;;;;;;;;x
