#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
** SOUTH SLAVIC **;;;;;;;;;;;;;;
** CROATIAN **;;;;;;;;;;;;;;
emperor_croatian;Car;Car;Car;;Car;;;;;;;;;x
emperor_female_croatian;Carica;Carica;Carica;;Carica;;;;;;;;;x
emperor_title_queen_mother_female_croatian;Carica Majka;Carica Majka;Carica Majka;;Carica Majka;;;;;;;;;x
city_emperor_croatian;Konzul;Konzul;Konzul;;Konzul;;;;;;;;;x
city_empire_of_croatian;Senate of;Sénat de;Senat von;;Senado de;;;;;;;;;x
;;;;;;;;;;;;;;
city_king_croatian;Tribune;Tribun;Volkstribun;;Tribuno;;;;;;;;;x
city_kingdom_of_croatian;Grand Republic of;Grande République de;Großen Republik;;Gran República de;;;;;;;;;x
;;;;;;;;;;;;;;
duke_croatian;Ban;Ban;Ban;;Ban;;;;;;;;;x
duke_female_croatian;Banna;Banna;Banna;;Banna;;;;;;;;;x
duchy_of_croatian;Bannat of;Bannat de;Bannat von;;Bannat de;;;;;;;;;x
city_duke_croatian;Rector;Recteur;Rektor;;Rectorado;;;;;;;;;x
;;;;;;;;;;;;;;
** SERBIAN **;;;;;;;;;;;;;;
emperor_serbian;Tsar;Tsar;Tsar;;Tsar;;;;;;;;;x
emperor_female_serbian;Tsaritsa;Tsaritsa;Tsaritsa;;Tsaritsa;;;;;;;;;x
emperor_title_queen_mother_female_serbian;Tsaritsa Majka;Tsaritsa Majka;Tsaritsa Majka;;Tsaritsa Majka;;;;;;;;;x
city_emperor_serbian;Konzul;Konzul;Konzul;;Konzul;;;;;;;;;x
city_empire_of_serbian;Senate of;Sénat de;Senat von;;Senado de;;;;;;;;;x
;;;;;;;;;;;;;;
king_serbian;Despot;Despote;Despot;;Déspota;;;;;;;;;x
king_female_serbian;Despotess;Dame Despote;Frau Despot;;Señora Déspota;;;;;;;;;x
kingdom_of_serbian;Despotate of;Despotat de;Despotate von;;Despotado de;;;;;;;;;x
city_king_croatian;Tribune;Tribun;Volkstribun;;Tribuno;;;;;;;;;x
city_kingdom_of_serbian;Grand Republic of;Grande République de;Großen Republik;;Gran República de;;;;;;;;;x
;;;;;;;;;;;;;;
city_duke_serbian;Rector;Recteur;Rektor;;Rectorado;;;;;;;;;x
;;;;;;;;;;;;;;
baron_serbian;Boyar;Boyard;Bojare;;Boyardo;;;;;;;;;x
barony_of_serbian;Castle of;Château de;Schloss von;;Castillo de;;;;;;;;;x
;;;;;;;;;;;;;;
** BULGARIAN **;;;;;;;;;;;;;;
emperor_bulgarian;Tsar;Tsar;Tsar;;Tsar;;;;;;;;;x
emperor_female_bulgarian;Tsaritsa;Tsaritsa;Tsaritsa;;Tsaritsa;;;;;;;;;x
emperor_title_queen_mother_female_bulgarian;Tsaritsa Maiko;Tsaritsa Maiko;Tsaritsa Maiko;;Tsaritsa Maiko;;;;;;;;;x
city_emperor_bulgarian;Vurkhovniya kantsler;Vurkhovniya kantsler;Vurkhovniya kantsler;;Vurkhovniya kantsler;;;;;;;;;x
city_empire_of_bulgarian;Confederation of;Confédération de;Konföderation von;;Confederación de;;;;;;;;;x
;;;;;;;;;;;;;;
king_bulgarian;Despot;Despote;Despot;;Déspota;;;;;;;;;x
king_female_bulgarian;Despotess;Dame Despote;Frau Despot;;Señora Déspota;;;;;;;;;x
kingdom_of_bulgarian;Despotate of;Despotat de;Despotate von;;Despotado de;;;;;;;;;x
city_king_bulgarian;Chancellor;Chancellier;Kanzler;;Canciller;;;;;;;;;x
city_kingdom_of_bulgarian;Grand Republic of;Grande République de;Großen Republik;;Gran República de;;;;;;;;;x
;;;;;;;;;;;;;;
duke_bulgarian;Grand Boyar;Grand-Boyard;Großen Bojare;;Gran Boyardo;;;;;;;;;x
duchy_of_bulgarian;Grand Boyardom of;Grand Boyardome de;Großen Bojartum von;;Gran Boyardomo de;;;;;;;;;x
city_duke_bulgarian;Voivode;Voïvode;Woiwode;;Voïvode;;;;;;;;;x
;;;;;;;;;;;;;;
count_bulgarian;Boyar;Boyard;Bojare;;Boyardo;;;;;;;;;x
county_of_bulgarian;Boyardom of;Boyardome de;Bojartum von;;Boyardomo de;;;;;;;;;x
