#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
** PAGAN **;;;;;;;;;;;;;;
city_king_pagan_group;Grand Prince;Grand Prince;Großtyrann;;Gran Príncipe;;;;;;;;;x
city_kingdom_of_pagan_group;Federation of;Fédération de;Föderation von;;Federación de;;;;;;;;;x
;;;;;;;;;;;;;;
city_duke_pagan_group;Tribal Elder;Tribal Elder;Tribal Elder;;Tribal Elder;;;;;;;;;x
city_duchy_of_pagan_group;Tribe of;Tribe of;Tribe of;;Tribe of;;;;;;;;;x
;;;;;;;;;;;;;;
city_count_pagan_group;Clan Elder;Clan Elder;Clan Elder;;Clan Elder;;;;;;;;;x
city_county_of_pagan_group;Clan of;Clan of;Clan of;;Clan of;;;;;;;;;x
;;;;;;;;;;;;;;
city_baron_pagan_group;Village Elder;Village Elder;Village Elder;;Village Elder;;;;;;;;;x
family_palace_baron_pagan_group;Elder;Ainé;Altere;;Saúco;;;;;;;;;x
;;;;;;;;;;;;;;
** NORSE PAGAN **;;;;;;;;;;;;;;
emperor_norse_pagan;Har Konungr;Har Konungr;Har Konungr;;Har Konungr;;;;;;;;;x
emperor_norse_pagan_reformed;Har Konungr;Har Konungr;Har Konungr;;Har Konungr;;;;;;;;;x
emperor_female_norse_pagan;Har Drottning;Har Drottning;Har Drottning;;Har Drottning;;;;;;;;;x
emperor_female_norse_pagan_reformed;Har Drottning;Har Drottning;Har Drottning;;Har Drottning;;;;;;;;;x
emperor_title_queen_mother_female_norse_pagan;Drottning Móðir;Drottning Móðir;Drottning Móðir;;Drottning Móðir;;;;;;;;;x
emperor_title_queen_mother_female_norse_pagan;Drottning Móðir;Drottning Móðir;Drottning Móðir;;Drottning Móðir;;;;;;;;;x
city_emperor_norse_pagan_reformed;Frábær Höfðingja;Frábær Höfðingja;Frábær Höfðingja;;Frábær Höfðingja;;;;;;;;;x
empire_of_norse_pagan;High Kingdom of;Haut Royaume de;Hohe Königreich von;;Alto Reino de;;;;;;;;;x
empire_of_norse_pagan_reformed;High Kingdom of;Haut Royaume de;Hohe Königreich von;;Alto Reino de;;;;;;;;;x
city_empire_of_norse_pagan;Principality of;Principauté de;Fürstentum von;;Principado de;;;;;;;;;x
city_empire_of_norse_pagan_reformed;Principality of;Principauté de;Fürstentum von;;Principado de;;;;;;;;;x
;;;;;;;;;;;;;;
city_king_norse_pagan;Grand Prince;Grand Prince;Großtyrann;;Gran Príncipe;;;;;;;;;x
city_kingdom_of_norse_pagan;Federation of;Fédération de;Föderation von;;Federación de;;;;;;;;;x
